Site,Date,Time,Measured_Flow,uncertainty ( IVE%),lat,lng,Subbasin,YEAR,DAY,Simulated_Flow
Glenora,2022-08-03,9:14,0.035,5.3,48.746394,-123.716815,37,10,215,0.05004
Glenora,2022-07-21,13:53,0.053,5.7,48.746394,-123.716815,37,10,202,0.07911
Glenora,2022-07-04,11:17,0.101,4.1,48.746394,-123.716815,37,10,185,0.06327
Glenora,2022-08-19,15:46,0.02,4.8,48.746394,-123.716815,37,10,231,0.04343
Glenora,2022-09-05,19:01,0.022,6.3,48.746394,-123.716815,37,10,248,0.03934
Glenora,2022-09-13,15:35,0.018,6.0,48.746394,-123.716815,37,10,256,0.0378
Fellows,2022-07-20,13:37,0.046,11.6,48.674958,-123.89559,43,10,201,0.3359
Fellows,2022-08-02,15:41,0.026,9.3,48.674958,-123.89559,43,10,214,0.01566
Fellows,2022-08-19,9:01,0.012,8.2,48.674958,-123.89559,43,10,231,0.003551
Fellows,2022-08-29,12:35,0.01,7.9,48.674958,-123.89559,43,10,241,0.004228
Fellows,2022-09-13,11:02,0.009,17.2,48.674958,-123.89559,43,10,256,0.01962
GrantLake,2022-07-22,16:24,0.013,18.5,48.630407,-123.775204,63,10,203,0.02874
GrantLake,2022-08-04,14:36,0.017,9.3,48.630407,-123.775204,63,10,216,0.007347
GrantLake,2022-08-19,13:06,0.016,4.4,48.630407,-123.775204,63,10,231,0.004238
GrantLake,2022-08-31,13:00,0.011,8.6,48.630407,-123.775204,63,10,243,0.003264
GrantLake,2022-09-16,16:31,0.009,5.7,48.630407,-123.775204,63,10,259,0.002618
Heatherbank,2022-08-03,12:29,0.005,5.6,48.702008,-123.647786,154,10,215,0.001368
Heatherbank,2022-08-30,18:22,0.0001,176.5,48.702008,-123.647786,154,10,242,0.0005517
Heatherbank,2022-09-12,16:59,0.0001,238.7,48.702008,-123.647786,154,10,255,0.0004231
Kelvin,2022-07-04,17:41,0.312,3.4,48.748352,-123.695518,27,10,185,0.1213
Kelvin,2022-07-21,15:02,0.151,5.1,48.748352,-123.695518,27,10,202,0.1925
Kelvin,2022-08-03,10:00,0.072,4.3,48.748352,-123.695518,27,10,215,0.09111
Kelvin,2022-08-19,16:36,0.033,4.3,48.748352,-123.695518,27,10,231,0.07661
Kelvin,2022-09-05,18:17,0.035,4.7,48.748352,-123.695518,27,10,248,0.06894
Kelvin,2022-09-13,16:30,0.017,10.5,48.748352,-123.695518,27,10,256,0.06636
Mainstem40km,2022-07-05,12:18,0.077,6.6,48.71336,-123.8978,82,10,186,0.1346
Mainstem40km,2022-07-20,11:27,0.037,7.7,48.71336,-123.8978,82,10,201,0.1422
Mainstem40km,2022-08-02,13:51,0.024,9.0,48.71336,-123.8978,82,10,214,0.002678
Mainstem40km,2022-08-16,13:10,0.008,30.4,48.71336,-123.8978,82,10,228,0.0002053
Mainstem40km,2022-08-29,10:43,0.011,26.3,48.71336,-123.8978,82,10,241,0.0006041
Mainstem40km,2022-09-15,12:28,0.01,14.6,48.71336,-123.8978,82,10,258,0.002857
Mainstem21km,2022-07-05,18:59,1.355,5.1,48.640397,-123.74345,21,10,186,1.284
Mainstem21km,2022-07-22,18:42,0.63,9.0,48.640397,-123.74345,21,10,203,0.6148
Mainstem21km,2022-08-03,17:12,0.416,5.6,48.640397,-123.74345,21,10,215,0.1265
Mainstem21km,2022-08-22,11:36,0.29,5.9,48.640397,-123.74345,21,10,234,0.05759
Mainstem21km,2022-08-31,15:04,0.212,8.8,48.640397,-123.74345,21,10,243,0.05645
Mainstem21km,2022-09-16,11:54,0.205,8.3,48.640397,-123.74345,21,10,259,0.111
Neel,2022-07-21,18:23,0.005,7.7,48.719185,-123.665039,87,10,202,0.007176
Neel,2022-08-03,11:40,0.004,13.2,48.719185,-123.665039,87,10,215,0.003873
Neel,2022-08-19,18:31,0.0001,39.5,48.719185,-123.665039,87,10,231,0.003022
Neel,2022-08-30,20:44,0.001,23.0,48.719185,-123.665039,87,10,242,0.002699
Neel,2022-09-13,14:11,0.0001,76.5,48.719185,-123.665039,87,10,256,0.00241
Norrie,2022-07-21,16:33,0.005,25.3,48.737719,-123.684844,77,10,202,0.01171
Norrie,2022-08-03,10:59,0.003,33.6,48.737719,-123.684844,77,10,215,0.006823
Norrie,2022-08-19,14:48,0.0001,72.3,48.737719,-123.684844,77,10,231,0.004515
Norrie,2022-08-30,19:35,0.0001,102.7,48.737719,-123.684844,77,10,242,0.00358
Norrie,2022-09-13,17:30,0.001,109.2,48.737719,-123.684844,77,10,256,0.002757
Patrolas,2022-07-04,19:17,0.106,6.1,48.719498,-123.64357,68,10,185,0.08015
Patrolas,2022-07-21,19:35,0.06,6.0,48.719498,-123.64357,68,10,202,0.08008
Patrolas,2022-08-03,13:47,0.032,4.4,48.719498,-123.64357,68,10,215,0.07279
Patrolas,2022-08-19,19:23,0.028,2.9,48.719498,-123.64357,68,10,231,0.06897
Patrolas,2022-09-05,17:02,0.036,3.0,48.719498,-123.64357,68,10,248,0.06602
Patrolas,2022-09-12,14:36,0.059,2.1,48.719498,-123.64357,68,10,255,0.06496
Siddoo,2022-07-22,15:28,0.043,3.6,48.629524,-123.795248,64,10,203,0.0158
Siddoo,2022-08-04,13:43,0.03,3.3,48.629524,-123.795248,64,10,216,0.003566
Siddoo,2022-08-19,12:19,0.019,3.8,48.629524,-123.795248,64,10,231,0.002349
Siddoo,2022-08-29,15:35,0.014,4.4,48.629524,-123.795248,64,10,241,0.002055
Siddoo,2022-09-16,15:30,0.012,4.8,48.629524,-123.795248,64,10,259,0.001817
TB1,2022-07-05,10:21,0.025,16.0,48.71939,-123.913442,98,10,186,0.06945
TB1,2022-07-20,10:17,0.01,18.3,48.71939,-123.913442,98,10,201,0.07938
TB1,2022-08-02,12:42,0.008,14.7,48.71939,-123.913442,98,10,214,0.001114
TB1,2022-08-16,14:40,0.004,11.8,48.71939,-123.913442,98,10,228,7.533e-05
TB1,2022-08-29,9:45,0.002,10.7,48.71939,-123.913442,98,10,241,0.0001742
TB1,2022-09-15,11:09,0.001,15.1,48.71939,-123.913442,98,10,258,0.0009028
TB2,2022-07-05,9:10,0.022,8.1,48.70843,-123.86798,107,10,186,0.0972
TB2,2022-07-20,9:06,0.008,13.7,48.70843,-123.86798,107,10,201,0.05877
TB2,2022-08-02,12:11,0.005,13.3,48.70843,-123.86798,107,10,214,0.0006851
TB2,2022-08-16,15:28,0.002,12.2,48.70843,-123.86798,107,10,228,2.462e-05
TB2,2022-08-29,8:58,0.001,10.2,48.70843,-123.86798,107,10,241,4.136e-05
TB2,2022-09-15,10:07,0.001,19.2,48.70843,-123.86798,107,10,258,0.0003594
WildDeer,2022-07-22,17:30,0.074,10.6,48.640523,-123.750599,48,10,203,0.02702
WildDeer,2022-08-03,15:33,0.042,17.1,48.640523,-123.750599,48,10,215,0.02477
WildDeer,2022-08-22,11:09,0.031,17.2,48.640523,-123.750599,48,10,234,0.02443
WildDeer,2022-08-31,14:08,0.024,16.7,48.640523,-123.750599,48,10,243,0.02435
WildDeer,2022-09-16,14:18,0.023,15.2,48.640523,-123.750599,48,10,259,0.02421
WK-East,2022-06-24,16:45,0.284,6.5,48.646339,-123.868382,34,10,175,0.08726
WK-East,2022-07-22,10:18,0.066,7.8,48.646339,-123.868382,34,10,203,0.04328
WK-East,2022-08-04,9:38,0.035,7.4,48.646339,-123.868382,34,10,216,0.01586
WK-East,2022-08-16,9:40,0.028,5.2,48.646339,-123.868382,34,10,228,0.01156
WK-East,2022-08-31,9:55,0.018,9.5,48.646339,-123.868382,34,10,243,0.009443
WK-East,2022-09-15,15:57,0.012,13.6,48.646339,-123.868382,34,10,258,0.008447
WK-West,2022-06-24,15:20,0.2,9.6,48.646171,-123.869063,46,10,175,0.06385
WK-West,2022-07-22,11:31,0.064,8.1,48.646171,-123.869063,46,10,203,0.04156
WK-West,2022-08-04,11:14,0.038,10.3,48.646171,-123.869063,46,10,216,0.004567
WK-West,2022-08-16,10:28,0.026,8.4,48.646171,-123.869063,46,10,228,0.00254
WK-West,2022-08-31,8:55,0.037,6.0,48.646171,-123.869063,46,10,243,0.002289
WK-West,2022-09-15,15:10,0.012,34.6,48.646171,-123.869063,46,10,258,0.003961
