id,name,codename,description,active,lat,lng
52538,Kelvin_KoksilahRd_1,kelvin_koksilahrd_1,,TRUE,48.748352,-123.695518
52539,Mainstem_BrightAngel,koksilah_brightangel,,TRUE,48.736295,-123.678614
52540,Neel_RiversideRd,neel_riversiderd,,TRUE,48.718893,-123.671058
52541,Norrie_FleetwoodRd,norrie_fleetwoodrd,,TRUE,48.723625,-123.694855
52542,Norrie_MountainRd_2,Norrie_mountainrd_2,,TRUE,48.726155,-123.688864
52543,Norrie_MountainRd_3,Norrie_mountainrd_3,,TRUE,48.726359,-123.707676
52544,Neel_ShawRd_1,neel_shawrd_1,,TRUE,48.719006,-123.666969
52545,Neel_ShawRd_2,neel_shawrd_2,,TRUE,48.719185,-123.665039
52546,Unknown_SideRd_3,unknown_siderd_3,,FALSE,48.710488,-123.66312
52547,Kelvin_TC_Trail_1,kelvin_tc_trail_1,,FALSE,48.715659,-123.731486
52548,Kelvin_TC_TrailBridge,kelvin_tc_trail_2,,TRUE,48.703235,-123.726847
52549,FOS_RiversideRd_8,riversiderd_8,,TRUE,48.683628,-123.668861
52550,FOS_RiversideRd_7,riversiderd_7,,TRUE,48.684195,-123.668236
52551,FOS_RiversideRd_9,riversiderd_9,,FALSE,48.678233,-123.676337
52552,Kelvin_HawthorneRd_3,kelvin_hawthornerd_3,,FALSE,48.694284,-123.720965
52553,Kelvin_ColpmanRd,kelvin_colpmanrd,,TRUE,48.684066,-123.718902
52554,Kelvin_HawthorneRd_1,kelvin_hawthornerd_1,,TRUE,48.68761,-123.717374
52555,Kelvin_MountainRd_5,kelvin_mountainrd_5,,TRUE,48.68729,-123.715805
52556,Kelvin_TC_Trail0,glenora_tc_trail,,TRUE,48.728833,-123.742488
52557,Norrie_KoksilahRd_2,norrie_koksilahrd_2,,TRUE,48.730515,-123.685333
52558,Kelvin_TC_Trail_3,kelvin_tc_trail_3,,FALSE,48.710463,-123.728947
52559,Norrie_MountainRd_4_test,norrie_mountainrd_4,,FALSE,48.725551,-123.709024
52560,Patrolas_HillbankRd,patrolas_hillbankrd,,TRUE,48.719498,-123.64357
52561,Glenora_WaterRd,glenora_waterrd,,TRUE,48.74308,-123.766845
52562,Unknown_Thain,unknown_thain,,FALSE,48.697146,-123.627013
52563,HeatherbankBrook_KingburnDr_1,heatherbankbrook_kingburndr_1,,TRUE,48.697117,-123.634369
52564,Glenora_MarshallRd,glenora_marshallrd,,TRUE,48.752281,-123.750913
52565,HeatherbankBrook_KingburnDr_2,heatherbankbrook_kingburndr_2,,TRUE,48.694833,-123.637164
52566,Patrolas_TommyRd_Culvert,tommyrd_culvert,,FALSE,48.712049,-123.611923
52567,Glenora_DoupeRd,glenora_douperd,,TRUE,48.746394,-123.716815
52568,Glenora_McLayRd,glenora_mclayrd,,TRUE,48.753269,-123.725821
52569,FOS_RiversideRd_2,unname_riversiderd_2,,FALSE,48.711457,-123.665752
52570,FOS_RiversideRd_6,riversiderd_6,,TRUE,48.690963,-123.657658
52571,FOS_RiversideRd_10,riversiderd_10,,TRUE,48.67315,-123.688883
52572,Glenora_GlenoraRd,glenora_glenorard,,TRUE,48.754588,-123.754682
52573,Glenora_CavinRd,glenora_cavinrd,,TRUE,48.746574,-123.756652
52574,FOS_RiversideRd,unnamed_riversiderd,,TRUE,48.714037,-123.669835
52575,FOS_RiversideRd_3,riversiderd_3,,FALSE,48.709883,-123.661473
53653,FOS_KapoorMain2.0,trb_b1,TributaryB,TRUE,48.644532,-123.726254
53654,GrantLake_KapoorMain6.0,gl1,GrantLake,TRUE,48.630407,-123.775204
53655,Boucicault_GlenEagleRd,bc1,BoucicaultCreek,TRUE,48.660615,-123.710234
53659,Mainstem_KoksilahRiverPark,upkok1,Mainstem,TRUE,48.640397,-123.74345
53660,FOS_SilverMineFSR0.5,trb_d1,TributaryD,TRUE,48.641438,-123.746612
53661,WildDeer_SilverMineFSR1.0,wdc1,WildDeerCreek,TRUE,48.640523,-123.750599
53662,WildDeer_EagleMain4.7,wdc2,WildDeerCreek,TRUE,48.644312,-123.774204
53663,WildDeer_EagleMain4.0,wdc3,WildDeerCreek,TRUE,48.64813,-123.781151
53664,WildDeer_WildDeerMain4.8,wdc5,WildDeerCreek,TRUE,48.67187,-123.807908
53665,WildDeer_EagleMain1.5,wdc4,WildDeerCreek,TRUE,48.662448,-123.797003
53666,FOS_KapoorMain7.0,trb_e1,TributaryE,TRUE,48.628093,-123.790841
53667,Siddoo_KapoorMain7.5,trb_f1,TributaryF,TRUE,48.629524,-123.795248
53669,Mainstem_StoltzMain2.1,upkok3,Mainstem,TRUE,48.72295,-123.92287
53670,TB1_StoltzMain1.3,trb_l1,TributaryL,TRUE,48.71939,-123.913442
53671,TB2_HoltMain14.8,trb_j1,TributaryJ,TRUE,48.70843,-123.86798
53672,FOS_M.Mainline1.9,trb_i2,TributaryI,TRUE,48.701941,-123.890686
53673,FOS_M.Mainline2.5,trb_i1,TributaryI,TRUE,48.694182,-123.891454
53674,Fellows_M.Mainline4.4,fc6,FellowsCreek,TRUE,48.68318,-123.899423
53675,Fellows_M.Mainline5.0,fc5,FellowsCreek,TRUE,48.6786,-123.901463
53676,Fellows_KoksilahMain0.2,fc3,FellowsCreek,TRUE,48.666642,-123.909063
53677,Fellows_KoksilahMain1.2,fc2,FellowsCreek,TRUE,48.662441,-123.91825
53678,Fellows_KoksilahMain1.7,fc1,FellowsCreek,TRUE,48.661319,-123.924652
53679,Siddo_KapoorMain_siteremovedfromstudy,trb_f2,TributaryF,FALSE,48.637564,-123.850712
53680,WK_East_KapoorMain15.0,trb_g1.2,TributaryG1,TRUE,48.618717,-123.866485
53681,WK_East_WeeksMain0.3,trb_g1.11,TributaryG1,TRUE,48.594861,-123.874334
53682,WK_East_WestJordanMain,trb_g1.10,TributaryG1,TRUE,48.60676,-123.87394
53683,WK_East_KapoorMain15.7,trb_g1.4,TributaryG1,TRUE,48.616244,-123.872381
53684,WK_East_KoksilahMain9.0,trb_g1.5,TributaryG1,TRUE,48.61687,-123.87637
53685,WK_East_RenfrewMain1.0,trb_g1.6,TributaryG1,TRUE,48.61327,-123.885474
53686,WK_East_RenfrewMain1.7,trb_g1.7,TributaryG1,TRUE,48.611846,-123.893158
53687,WK_East_RenfrewMain2.4,trb_g1.8,TributaryG1,TRUE,48.610407,-123.902589
53688,WK_East_KoksilahMain6.3,trb_g1.9,TributaryG1,TRUE,48.63005,-123.8999
53689,WK_West_KoksilahMain5.9,trb_g2.1,TributaryG2,TRUE,48.633423,-123.905071
53690,WK_West_KoksilahMain5.0,trb_g2.2,TributaryG2 - West kok,TRUE,48.636271,-123.911793
53691,WK_West_KoksilahMain4.5,trb_g2.3,TributaryG2,TRUE,48.640114,-123.915575
53692,WK_West_KoksilahMain4.0,trb_g2.4,TributaryG2,TRUE,48.6437,-123.91673
53693,WK_West_KoksilahMain3.6,trb_g2.5,TributaryG2,TRUE,48.64729,-123.9187
53694,Mainstem_M.Mainline0.0,upkok4,Mainstem,TRUE,48.71336,-123.8978
53695,Hike in point for dataloggers at West Koksilah Confluence,hike in point,,FALSE,48.636641,-123.87122
53809,Patrolas_TommyRd_DouganLake,patrolas_tommyrd_douganlake,,TRUE,48.714286,-123.610655
53869,Mainstem_KingburnePark,main_kingburnepark,,TRUE,48.678263,-123.665048
53870,FOS_KingburnePark,KingburnePark,,TRUE,48.678002,-123.664732
64539,Fellows_Confluence,fellows_confluence,,TRUE,48.674958,-123.89559
64541,W_Koksilah_West,w_koksilah_west,,TRUE,48.646171,-123.869063
64542,W_Koksilah_East,w_koksilah_east,,TRUE,48.646339,-123.868382
64543,Norrie_Confluence,norrie_confluence,,TRUE,48.737719,-123.684844
64544,Patrolas_Confluence,patrolas_confluence,,TRUE,48.724227,-123.667254
64545,HBB_Confluence,hbb_confluence,,TRUE,48.702008,-123.647786